userId,name,email,carMake,carModel,carYear
06844306-850c-4e1c-9013-8ffff22788bd,Alan Cline,alancline.gmail.com,Toyota,Corolla,1975
35082fbf-7a98-4899-962c-475054623842,Alexander Brown,alexanderbrown.hotmail.com,Mercedes,E-Class,1978
69d40d74-48c7-40f9-9b30-295fd83f5045,Kevin Larson,kevinlarson.gmail.com,BMW,3 Series,1990
9d93ff9b-e6d2-4e56-9516-981c95562740,Whitney Miller,whitneymiller.yahoo.com,Volkswagen,Polo,2000
5e6181c2-38fa-40e6-b052-f0cdce33d7ae,James Kaiser,jameskaiser.gmail.com,Mercedes,E-Class,1999
df647e30-8ed8-4b86-99d6-bff76900b70d,Jeffrey Howard,jeffreyhoward.yahoo.com,Mercedes,GLA,1986
65a97f6e-db91-4d40-9900-4bbfdb1bfdeb,Misty Chang,mistychang.yahoo.com,Toyota,RAV4,1989
2df38d1a-28ed-4c06-a441-d8f592a54b99,Ana Castillo,anacastillo.hotmail.com,Ford,Focus,2021
67420621-c489-47b1-9322-426c6cf9eb0b,Anita Potter,anitapotter.gmail.com,Toyota,Fortuner,1976
3705830f-1bae-4021-831e-069cf3d0f640,Michael Turner,michaelturner.hotmail.com,Toyota,RAV4,1978
93ae18b5-a9ff-44f0-854e-a2caf146b6de,Roger Duran,rogerduran.hotmail.com,Ford,Focus,1971
d7507210-be2c-4b25-a8c3-c3f507921d75,Christine Fox,christinefox.hotmail.com,Toyota,RAV4,2019
5c20b954-5ec4-49c4-993c-456a73f43c36,Meghan Roberts,meghanroberts.yahoo.com,Ford,Focus,2020
77d335a6-3a5c-4185-83b4-0d4a897fdf78,Kyle Case,kylecase.yahoo.com,BMW,3 Series,2020
a5a53dd2-a4de-4655-9587-beee3e1a90e3,Cameron Hale DVM,cameronhaledvm.gmail.com,Volkswagen,Polo,1985
80504f10-b8ca-45bd-a4ab-d0fbcd0309f2,Jeffery Cowan,jefferycowan.yahoo.com,Toyota,Corolla,1980
e91651c8-e2d1-49df-bc29-eaab4266a36a,Alexander Mathews,alexandermathews.gmail.com,Mercedes,E-Class,1994
8f331419-2d22-43d6-b0fe-98262d6d51b2,Janice Walker,janicewalker.hotmail.com,Volkswagen,Golf,2005
